date,time,ticker,mark,bid,ask
01/26/2022,09:27:05,ETH,2616.590000,2610.930000,2622.250000
01/26/2022,09:27:10,ETH,2614.990000,2609.480000,2620.500000
01/26/2022,09:27:15,ETH,2614.085000,2608.430000,2619.740000
01/26/2022,09:27:20,ETH,2613.110000,2607.460000,2618.760000
01/26/2022,09:27:25,ETH,2614.048928,2608.337856,2619.760000
01/26/2022,09:27:30,ETH,2613.694512,2608.059025,2619.330000
01/26/2022,09:27:35,ETH,2611.259669,2605.529338,2616.990000
01/26/2022,09:27:40,ETH,2610.850000,2605.200000,2616.500000
01/26/2022,09:27:45,ETH,2608.030031,2602.260063,2613.800000
01/26/2022,09:27:50,ETH,2610.089179,2604.278358,2615.900000
01/26/2022,09:27:55,ETH,2609.630000,2603.810000,2615.450000
01/26/2022,09:28:00,ETH,2611.170000,2605.640000,2616.700000
01/26/2022,09:28:05,ETH,2608.440000,2603.010000,2613.870000
01/26/2022,09:28:10,ETH,2609.410000,2603.700000,2615.120000
01/26/2022,09:28:15,ETH,2609.155000,2603.310000,2615.000000
01/26/2022,09:28:20,ETH,2609.647269,2604.194538,2615.100000
01/26/2022,09:28:25,ETH,2609.493577,2603.887155,2615.100000
01/26/2022,09:28:30,ETH,2607.955000,2602.310000,2613.600000
01/26/2022,09:28:35,ETH,2606.245314,2600.880629,2611.610000
01/26/2022,09:28:40,ETH,2605.692943,2600.145886,2611.240000
01/26/2022,09:28:45,ETH,2607.117121,2601.534243,2612.700000
01/26/2022,09:28:50,ETH,2605.503111,2599.906222,2611.100000
01/26/2022,09:28:55,ETH,2604.549103,2599.148207,2609.950000
01/26/2022,09:29:00,ETH,2604.121462,2598.602925,2609.640000
01/26/2022,09:29:05,ETH,2604.685000,2599.050000,2610.320000
01/26/2022,09:29:10,ETH,2606.632408,2600.850000,2612.414816
01/26/2022,09:29:15,ETH,2607.490079,2602.280000,2612.700159
01/26/2022,09:29:20,ETH,2607.270656,2601.650000,2612.891313
01/26/2022,09:29:25,ETH,2608.743564,2603.167129,2614.320000
01/26/2022,09:29:30,ETH,2607.895000,2602.400000,2613.390000
01/26/2022,09:29:35,ETH,2608.040000,2602.400000,2613.680000
01/26/2022,09:29:40,ETH,2610.102001,2604.580000,2615.624003
01/26/2022,09:29:45,ETH,2610.810000,2605.160000,2616.460000
01/26/2022,09:29:50,ETH,2610.360000,2604.810000,2615.910000
01/26/2022,09:29:55,ETH,2610.805000,2605.070000,2616.540000
01/26/2022,09:30:00,ETH,2610.956133,2605.152267,2616.760000
01/26/2022,09:30:05,ETH,2608.027501,2602.355003,2613.700000
01/26/2022,09:30:10,ETH,2611.399855,2605.499710,2617.300000
01/26/2022,09:30:15,ETH,2614.030719,2608.361438,2619.700000
01/26/2022,09:30:20,ETH,2614.225709,2608.551418,2619.900000
01/26/2022,09:30:25,ETH,2615.430000,2610.260000,2620.600000
01/26/2022,09:30:30,ETH,2614.063384,2608.716769,2619.410000
